continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,iso3,capital,name,description,main.temp_max,main.temp_min
Europe,Lithuania,2024-08-14,1369355.0,807.0,115.286,9810.0,0.0,0.0,486117.47,LTU,vilnius,vilnius,broken clouds,278.38,277.44
Africa,Madagascar,2024-08-04,68567.0,0.0,0.0,1428.0,0.0,0.0,2252.732,MDG,antananarivo,antananarivo,broken clouds,293.13,293.13
Africa,Malawi,2024-08-04,89168.0,0.0,0.0,2686.0,0.0,0.0,4335.124,MWI,lilongwe,lilongwe,overcast clouds,292.9,292.9
Asia,Malaysia,2024-08-14,5309410.0,1085.0,155.0,37351.0,0.0,0.0,153028.81,MYS,kuala lumpur,kuala lumpur,few clouds,300.9,300.9
Africa,Mali,2024-08-04,33166.0,0.0,0.0,743.0,0.0,0.0,1437.46,MLI,bamako,bamako,few clouds,310.38,310.38
Europe,Malta,2024-08-04,122796.0,80.0,11.429,922.0,1.0,0.143,232482.77,MLT,valletta,valletta,few clouds,288.14,287.45
Oceania,Marshall Islands,2024-08-04,16297.0,0.0,0.0,17.0,0.0,0.0,406469.78,MHL,majuro,majuro,overcast clouds,300.4,300.4
Africa,Mauritania,2024-08-04,63872.0,0.0,0.0,997.0,0.0,0.0,13100.216,MRT,nouakchott,nouakchott,clear sky,301.11,301.11
Africa,Mauritius,2024-08-04,328167.0,0.0,0.0,1073.0,0.0,0.0,257157.16,MUS,port louis,port louis,light rain,300.05,298.38
Africa,Mayotte,2024-08-04,42027.0,0.0,0.0,187.0,0.0,0.0,137667.97,MYT,mamoudzou,mamoudzou,few clouds,301.94,301.94
Oceania,Micronesia (country),2024-08-04,31765.0,0.0,0.0,65.0,0.0,0.0,283302.4,FSM,palikir,palikir,light rain,300.34,300.34
Europe,Monaco,2024-08-04,17181.0,0.0,0.0,67.0,0.0,0.0,441115.3,MCO,monaco,monaco,clear sky,286.73,284.49
Europe,Montenegro,2024-08-04,251280.0,0.0,0.0,2654.0,0.0,0.0,408818.03,MNE,podgorica,podgorica,clear sky,285.03,285.03
North America,Montserrat,2024-08-04,1403.0,0.0,0.0,8.0,0.0,0.0,313449.5,MSR,plymouth,plymouth,few clouds,286.1,282.24
Africa,Morocco,2024-08-04,1279115.0,0.0,0.0,16305.0,0.0,0.0,34265.92,MAR,rabat,rabat,scattered clouds,294.19,294.19
Africa,Mozambique,2024-08-04,233843.0,0.0,0.0,2252.0,0.0,0.0,7160.744,MOZ,maputo,maputo,few clouds,296.33,296.33
Asia,Myanmar,2024-08-04,642885.0,26.0,3.714,19494.0,0.0,0.0,11959.141,MMR,nay pyi taw,nay pyi taw,clear sky,301.24,301.24
Africa,Namibia,2024-08-04,172533.0,0.0,0.0,4108.0,0.0,0.0,59706.86,NAM,windhoek,windhoek,overcast clouds,294.88,294.5
Oceania,Nauru,2024-08-04,5393.0,0.0,0.0,1.0,0.0,0.0,456221.97,NRU,yaren,yaren,overcast clouds,299.89,299.89
Asia,Nepal,2024-08-04,1003450.0,0.0,0.0,12031.0,0.0,0.0,33768.65,NPL,kathmandu,kathmandu,few clouds,291.27,291.27
Europe,Netherlands,2024-08-04,8640008.0,383.0,54.714,22986.0,0.0,0.0,482562.8,NLD,amsterdam,amsterdam,clear sky,290.31,288.62
Oceania,New Caledonia,2024-08-04,80163.0,0.0,0.0,314.0,0.0,0.0,279186.16,NCL,noumea,noumea,broken clouds,297.61,297.61
Oceania,New Zealand,2024-08-11,2639048.0,1730.0,247.143,4284.0,16.0,2.286,514260.6,NZL,wellington,wellington,overcast clouds,287.96,287.96
North America,Nicaragua,2024-08-04,16185.0,2.0,0.286,245.0,0.0,0.0,2404.667,NIC,managua,managua,scattered clouds,302.84,302.84
Africa,Niger,2024-08-04,9518.0,0.0,0.0,315.0,0.0,0.0,376.028,NER,niamey,niamey,broken clouds,314.61,314.61
Africa,Nigeria,2024-08-04,267188.0,0.0,0.0,3155.0,0.0,0.0,1197.342,NGA,abuja,abuja,overcast clouds,308.45,308.45
Oceania,Niue,2024-08-04,1074.0,0.0,0.0,0.0,0.0,0.0,582429.5,NIU,alofi,alofi,light rain,300.09,300.09
Asia,North Korea,2024-08-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PRK,pyongyang,pyongyang,clear sky,273.6,273.6
Europe,North Macedonia,2024-08-04,350924.0,116.0,16.571,9978.0,0.0,0.0,190695.11,MKD,skopje,skopje,clear sky,285.97,285.97
Oceania,Northern Mariana Islands,2024-08-04,14912.0,31.0,4.429,41.0,0.0,0.0,323463.7,MNP,saipan,saipan,scattered clouds,299.62,299.54
Europe,Norway,2024-08-04,1512647.0,745.0,106.429,5732.0,0.0,0.0,277204.28,NOR,oslo,oslo,few clouds,279.6,279.6
Asia,Oman,2024-08-04,399449.0,0.0,0.0,4628.0,0.0,0.0,84446.055,OMN,muscat,muscat,clear sky,298.5,298.5
Asia,Pakistan,2024-08-04,1580631.0,0.0,0.0,30656.0,0.0,0.0,6485.952,PAK,islamabad,islamabad,broken clouds,292.37,292.37
Oceania,Palau,2024-08-04,6372.0,0.0,0.0,10.0,0.0,0.0,358299.6,PLW,melekeok,melekeok,broken clouds,299.06,299.06
Asia,Palestine,2024-08-04,703228.0,0.0,0.0,5708.0,0.0,0.0,132552.62,PSE,east jerusalem,east jerusalem,clear sky,286.49,286.46
North America,Panama,2024-08-04,1044821.0,0.0,0.0,8748.0,0.0,0.0,237417.66,PAN,panama city,panama city,scattered clouds,305.89,304.02
Oceania,Papua New Guinea,2024-08-04,46864.0,0.0,0.0,670.0,0.0,0.0,4593.08,PNG,port moresby,port moresby,light rain,297.83,297.83
